Unix,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USDT,tradecount,SMA50,SMA200,RSI14,ATR14,cross_above_50,entry_signal,exit_signal
1569283200000,2019-09-24,BTCUSDT,9702.2,9794.99,7800.0,8493.14,94007.345203,838996309.1611282,748712,10386.7588,8288.977149999999,22.684132637773615,488.7949882688366,False,False,True
1569369600000,2019-09-25,BTCUSDT,8497.55,8730.0,8215.64,8430.05,60783.892258,512437200.3611044,544806,10325.726,8311.412199999999,22.201764303442133,490.6210605353483,False,False,True
1569456000000,2019-09-26,BTCUSDT,8430.05,8465.99,7750.0,8063.73,67930.853749,552794530.866682,522062,10247.5,8332.14675,19.59613928044233,506.7188419256806,False,False,True
1569542400000,2019-09-27,BTCUSDT,8063.49,8265.0,7852.15,8177.91,43882.924625,352800745.20792854,369518,10171.0628,8353.67825,22.643577410724177,500.01392464527487,False,False,True
1569628800000,2019-09-28,BTCUSDT,8177.47,8315.0,8001.09,8198.81,34473.605165,280672404.6804955,319113,10097.4392,8375.25865,23.21724801839457,486.72078717061237,False,False,True
1569715200000,2019-09-29,BTCUSDT,8199.38,8229.13,7890.0,8043.82,31544.211388,253660600.3252929,322501,10032.1294,8396.14775,21.919080808508355,476.17858808699714,False,False,True
1569801600000,2019-09-30,BTCUSDT,8043.04,8337.26,7710.0,8289.34,55865.48726,449120676.8427603,455556,9966.9168,8418.20885,28.718396925719006,486.9701175093545,False,False,True
1569888000000,2019-10-01,BTCUSDT,8289.97,8500.0,8173.05,8292.44,43472.418091,362980689.8799913,387653,9904.844000000001,8440.05225,28.802699986328946,475.5401091158292,False,False,True
1569974400000,2019-10-02,BTCUSDT,8292.67,8373.91,8151.22,8359.94,26243.386644,216325351.8586446,261430,9854.1886,8461.822049999999,30.723915046127075,457.4793870361271,False,False,True
1570060800000,2019-10-03,BTCUSDT,8360.0,8393.0,8060.0,8223.96,30488.284058,250291751.27141392,281307,9817.6604,8483.03615,29.02474509361383,448.5880022478323,False,False,True
1570147200000,2019-10-04,BTCUSDT,8224.43,8232.41,8005.0,8137.13,26476.330404,215325611.6822151,259012,9774.5244,8503.78275,27.961342463301293,432.7895735158443,False,False,True
1570233600000,2019-10-05,BTCUSDT,8137.09,8183.41,8012.98,8126.19,21907.615564,177252877.0029691,237769,9730.4174,8524.33605,27.823028533297247,414.04960397899833,False,False,True
